"dmNumber","itemCode","serialNumber","getDifSerial","proformaInv","receiveDocs","received","repairable","additionInfo","lastEditor","rpa"
"DM62/027","544965A","06B1629320-019","06B2098683-022","IM19/037","IM23/006",true,"fixed","","",""
"DM62/039","544965A","06C1749070-041","","IM62/033","IM20/011",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/039","544965A","06F1871317-046","","IM62/033","-",true,"fixed","ได้คืนแล้วไม่มีข้อมูล IM No.","",""
"DM62/041","544965","08C1383517-023","","IM62/033","IM20/011",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/042","544965A","06F1520340-007","","IM20/001","IM20/011",true,"fixed","","",""
"DM62/042","544965A","06K1758648-010","","IM20/001","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/044","544965","06G1630663-025","","IM20/001","IM20/011",true,"fixed","","",""
"DM62/044","544965AF","06F1388059-013","","IM20/001","IM20/011",true,"fixed","","",""
"DM62/044","544965AF","06F1520340-011","","IM20/001","IM20/011",true,"fixed","","",""
"DM62/048","544965AF","06F1871317-021","","IM20/002","IM20/011",true,"fixed","","",""
"DM62/048","544965AF","06K1758647-031","","IM20/002","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/048","544965AF","06A1863101-048","","IM20/002","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/048","544965AF","06F1871317-016","","IM20/002","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/048","544965AF","06M1279277-050","06M1279277-060","IM20/002","IM20/011",true,"fixed","","",""
"DM62/048","544965AF","06M1279277-034","","IM20/002","IM20/011",true,"fixed","","",""
"DM62/048","544965AF","06F1871317-015","","IM20/002","IM20/011",true,"fixed","","",""
"DM62/048","544965A","06B1629323-024","","IM20/002","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/051","544965AF","06K1758645-017","","IM20/003","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/002","544965AF","06M1526937-019","","IM20/003","IM20/010",true,"fixed","","",""
"DM63/002","544965","06A1863099-028","","IM20/003","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/002","544965","06F1871317-028","","IM20/003","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/002","544995AF","04K0800046-002","","IM20/003","IM20/010",true,"fixed","","",""
"DM63/004","544965AF","06A1863106-016","","IM20/004","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/004","544995AF","06K1758647-021","","IM20/004","IM20/012",true,"fixed","","",""
"DM63/004","544965A","06A1883104-003","","IM20/004","IM20/012",true,"fixed","","",""
"DM63/004","544965","06A1863101-043","","IM20/004","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/006","544965AF","06A1863104-049","","IM20/005","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/006","544965A","06F1871335-040","","IM20/005","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/006","544965A","06C1749074-018","","IM20/005","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/007","544965AF","06K1758645-010","","IM20/007","IM20/014",true,"fixed","","",""
"DM63/007","544965AF","06K1156118-050","","IM20/007","IM20/014",true,"fixed","","",""
"DM63/007","544965AF","06K1758647-005","","IM20/007","IM20/014",true,"fixed","","",""
"DM63/007","544965A","06F1871317-018","","IM20/007","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM62/024","544965A","06B1629322-019","","IM19/038","",false,"pending","","",""
"DM62/025","544965","06K1758647-020","","IM19/038","",false,"pending","","",""
"DM62/030","544965","06G1630663-022","","IM19/038","",false,"pending","","",""
"DM63/011","544965AF","06F1871317-023","","IM19/038","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/011","544965A","06K1758647-045","","IM19/038","IM20/023",true,"fixed","","",""
"DM63/012","544995A","06J0913633-048","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/013","544995AF","06G0910738-033","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/014","544965A","04J0800072-010","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/014","544965A","06C1383517-019","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/014","544965A","06C1383531-021","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/014","544995A","03F1388087-010","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/015","544965AF","06G16306630-008","","IM20/009","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/015","544965A","06C1383518-029","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/015","544965A","06F1871317-003","","IM20/009","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/016","544965","06F1520340-014","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/017","544965","06K1156853-031","","IM20/009","IM20/022",true,"fixed","","",""
"DM63/018","544965A","1995273-002","","IM20/009","IM20/023",true,"fixed","","",""
"DM63/024","544965AF","06A1863104-040","","IM20/013","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/024","544965AF","06F1871333-047","","IM20/013","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/025","544965AF","06C1985908-006","","IM20/014","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/025","544965AF","06F1871334-047","","IM20/014","IM20/022",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/026","544965AF","06D1750174-044","06B2098726-049","IM20/015","IM22/008",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/026","544965A","06F1388055-042","","IM20/015","IM20/022",true,"fixed","","",""
"DM63/026","544965A","06C1749070-044","06B2098726-010","IM20/015","IM22/008",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/026","544965AF","06F1871334-039","06B2098726-001","IM20/015","IM22/008",true,"fixed","ได้คืนแล้วเป็นของใหม่ 1 EA","",""
"DM63/027","544965AF","06F1871333-007","06B2098726","IM20/015","IM20/022",true,"fixed","","",""
