"dmNumber","itemCode","quantity","serialNumber","getDifSerial","proformaInv","receiveDocs","received","repairable","additionInfo","lastEditor","rpa"
"DM63/008","11.62.67",1,"","","IM20-006","IM20/013",true,"fixed","สินค้าและจดหมายตัวจริงอยู่ที่ DT เพื่อให้ลูกค้าเซ็นรับ","",""
"DM63/021","32F-008.22.860",1,"EQ ,SN1232016610","","IM20/010","IM20/019",true,"fixed","ส่งคืนสถาบันมะเร็งแล้ว","",""
"DM63/020","32F-000.22.104",1,"SN1103667574","","IM20/010","IM20/015",true,"fixed"," ","",""
"DM63/003","32J-008.31.415D",1,"PART1SN1104780301 PART2 SN1105007653","","IM20/010","IM20/015",true,"fixed","ส่งไปทั้ง2Part","",""
"DM63/019","32X-007.99.383",1,"","","IM20/010","IM20/018",true,"fixed","","",""
"DM63/001","32J-008.31.277",1,"SN1101327279 SN1100991927","","IM20/010","IM20/016",true,"fixed","","",""
"DM63/010","32J-008.31.277D",1,"SN1102160801 SN1105020395","","IM20/010","IM20/015",true,"fixed","","",""
"DM63/009","32C-008.32.265",1,"SN1101327280 SN1101036526","","IM20/010","IM20/017",true,"fixed","","",""
"DM63/022","50.02.15",1,"11AB","","IM20-011","IM20/021",true,"fixed","","",""
"DM63/023","15.41.12",1,"22AB","","IM20-012","IM20/020",true,"fixed","","",""
"DM63/005","50.50.05",1,"","","ยกเลิกเคลม","ใบงาน 63/0322",true,"fixed","","",""
"DM63/029","32F-008.22.860",1,"","","ยกเลิกเคลม","IM20/020-1",true,"fixed","ใบงาน 63/0430","",""
"DM63/043","32F-008.22.800",1,"","","ยกเลิกเคลม","IM20/020-1",true,"fixed","ใบงาน 63/0430","",""
"DM64/014","32F-008.22.860",1,"","","ไม่ต้องส่งคืน","IM21/009",true,"fixed","เมืองนอกส่งสินค้าใหมามาทดแทน ตัวเก่าให้ช่างยุตใช้เป็นอะไหล่","",""
"DM64/035","32F-008.31.415",1,"SN1105904275","","IM21/013","IM22/004",true,"fixed","","",""
"DM65/021","68.88.63=1",1,"","","CIIM22-009","IM23/014",true,"fixed","จดหมายส่งคืนลูกคั้งไม่ได้คืนจาก KF (ส่งให้ 27/9/66) ให้นัฐทวงให้ 17/10/66","",""
"DM65/021","68.88.62=5",1,"","","CIIM22-009","IM23/014",true,"fixed","จดหมายส่งคืนลูกคั้งไม่ได้คืนจาก KF (ส่งให้ 27/9/66) ให้นัฐทวงให้ 17/10/67","",""
"DM65/022","63.45.07=1",1,"","","CIIM22-009","",false,"pending","","",""
"DM65/022","68.84.00=1",1,"","","CIIM22-009","",false,"pending","","",""
"DM65/023","53.50.05",5,"","","CIIM22-009","IM22/011=4EA, IM23/003 = 1EA",true,"fixed","","",""
"DM65/024","53.50.05",1,"","","IM22-007","IM22/014",true,"fixed","","",""
"DM65/029","53.50.05",1,"FRIF4-0231","","","IM22/014",true,"fixed","","",""
"DM65/031","68.84.05",1,"54544","","IM23/001","IM23/001",true,"fixed","","",""
"DM65/032","32J-008.31.415",1,"SN1104780303","","IM22/014","IM22/012",true,"fixed","โกดังได้รับเฉพาะ Headlight จึงส่งเคลมเฉพาะ Headlight","",""
"DM65/047","1114.48.03",1,"","","IM22-021","เมืองนอกไม่ส่งคืนล้วให้เป็นเครดิตแทน",true,"fixed","","",""
"DM66/006","1101.27.03",1,"","","-","IM23/005",true,"fixed","เมืองนอกส่งสินค้าใหมามาทดแทน ตัวเก่าให้ Product (DD)","",""
"DM66/007","1155.60.40",1,"11AA","","","",false,"pending","","",""
"DM66/011","1166.70.30",1,"1797513","","IM23-009","",false,"pending","","",""
"DM66/017","34model192",1,"","","","",false,"pending","","",""
"DM66/020","32F-000.22.103",7,"","","","IM23/012",true,"fixed","เมืองนอกส่งสินค้าใหมามาทดแทน ตัวเก่าให้พี่ปูจิ 18/08/66","",""
"DM66/020","32F-000.22.104",5,"","","","IM23/012",true,"fixed","เมืองนอกส่งสินค้าใหมามาทดแทน ตัวเก่าให้พี่ปูจิ 18/08/66","",""
"DM66/022","32F-008.22.820",1,"","","","IM23/016",true,"fixed","เมืองนอกส่งสินค้าใหมามาทดแทน INV.RG430840 ตัวเก่าให้พี่ตาแล้ว 25/10/66","",""
"DM67/001","1116.12.18",11,"","","IM24-002","",false,"pending","","",""
"DM67/002","70470016000",4,"","","IM24-003","",false,"pending","","",""
